State,Year_Built,Square_Footage,CLUE_Loss_Count,Credit_Score,Construction_Type,Protection_Class,AOI,Deductible,Territory,Roof_Age_Applicant,Fire_Alarm,Burglar_Alarm,Roof_Vulnerability_Satellite,Wildfire_Exposure_Daily,Water_Loss_Recency_Months,RCV_Appraised,Fire_Hydrant_Distance,Tree_Canopy_Density,Crime_Severity_Index,Pluvial_Flood_Depth,Building_Code_Compliance,Slope_Steepness,Attic_Ventilation,Hail_Frequency,Soil_Liquefaction_Risk,Dwelling_Age,RCV_Overstatement,Credit_Score_Suppressed,Risk_Tier,Expected_Pure_Premium,Claim_Count,Claim_Amount
MA,2012,2504.0,0,700.0,Frame,4,653777.0,1000,Urban,11,True,True,11.99,1.06,120,546938.0,0.802,36.34,67.1,2.05,96,1.35,Excellent,2,Low,14,106839.0,True,Moderate,1124.34,0,0.0
NY,2019,2585.0,0,850.0,Frame,1,584548.0,5000,Urban,3,False,False,27.62,0.4,120,356185.0,0.553,15.23,39.28,1.22,74,2.1,Poor,2,Low,7,228363.0,False,Moderate,1015.46,0,0.0
WA,1962,1655.0,0,670.0,Frame,1,314932.0,500,Rural,27,True,False,12.52,16.49,120,338033.0,0.313,63.36,33.87,0.81,69,7.33,Adequate,0,Low,64,0.0,False,Low,745.41,0,0.0
LA,2021,2455.0,1,732.0,Frame,8,503015.0,2000,Urban,3,True,True,17.67,1.5,19,378203.0,0.432,46.7,60.64,17.74,92,20.35,Adequate,0,Low,5,124812.0,False,Moderate,1431.86,0,0.0
CA,2018,1760.0,0,700.0,Frame,4,337869.0,1000,Rural,1,False,False,2.98,4.01,120,292811.0,0.429,11.29,69.17,3.45,65,2.8,Adequate,0,Moderate,8,45058.0,True,Low,544.54,0,0.0
Other,1998,2576.0,0,558.0,Frame,3,567016.0,1000,Urban,14,False,False,38.0,4.38,120,545774.0,0.41,6.12,44.21,1.58,84,0.98,Adequate,0,Low,28,21242.0,False,Elevated,2991.69,0,0.0
MA,1966,1931.0,0,700.0,Frame,4,483942.0,1000,Suburban,25,False,False,24.25,25.01,120,367422.0,0.774,49.08,45.01,6.4,68,4.14,Poor,0,Low,60,116520.0,True,Elevated,2390.66,0,0.0
MA,1962,1895.0,0,700.0,Frame,10,536539.0,1000,Urban,16,False,True,8.92,1.29,120,390915.0,1.469,23.12,49.63,8.48,42,21.52,Excellent,0,Low,64,145624.0,True,High,4592.07,0,0.0
CA,1994,2558.0,0,700.0,Fire Resistive,10,713374.0,2000,Urban,16,False,True,7.21,13.17,120,469048.0,3.466,6.24,65.8,0.53,82,2.16,Adequate,0,Low,32,244326.0,True,Elevated,2609.09,0,0.0
NY,2000,2028.0,0,850.0,Frame,3,311946.0,5000,Suburban,13,False,True,13.5,1.04,120,349266.0,1.122,19.66,41.35,3.94,73,0.95,Excellent,1,Low,26,0.0,False,Low,614.01,0,0.0
FL,1974,2411.0,0,676.0,Frame,1,417231.0,1000,Urban,18,True,True,20.41,0.85,120,363269.0,0.132,13.93,20.98,19.48,41,1.03,Adequate,0,Low,52,53962.0,False,Moderate,1696.24,0,0.0
Other,1957,1835.0,1,693.0,Masonry,4,440405.0,1000,Suburban,19,False,True,12.97,1.05,27,411439.0,0.249,65.26,29.18,4.2,38,15.24,Adequate,2,Moderate,69,28966.0,False,Moderate,1683.44,0,0.0
OK,1958,2922.0,0,729.0,Masonry,2,515860.0,1000,Suburban,25,False,True,19.76,3.12,120,472573.0,0.075,16.89,52.63,2.51,35,7.08,Poor,7,Low,68,43287.0,False,Elevated,3235.75,0,0.0
WA,1991,2771.0,0,762.0,Frame,5,551080.0,2000,Rural,10,False,False,25.1,11.66,120,488048.0,0.975,21.89,49.82,10.86,48,6.88,Excellent,0,Moderate,35,63032.0,False,Moderate,1608.55,0,0.0
NY,1984,3097.0,0,768.0,Frame,2,646842.0,1000,Suburban,19,True,True,9.42,10.15,120,617045.0,0.409,47.93,36.66,12.44,66,24.15,Excellent,1,Low,42,29797.0,False,Moderate,1253.52,0,0.0
TX,2023,2540.0,0,779.0,Frame,6,517909.0,1000,Urban,20,True,False,32.76,38.69,120,322181.0,0.611,55.65,67.81,8.97,100,20.94,Excellent,3,Moderate,3,195728.0,False,Moderate,1920.16,0,0.0
CO,1998,2629.0,0,786.0,Frame,5,544782.0,1000,Suburban,5,True,False,4.56,2.78,120,535405.0,0.638,15.94,31.5,2.79,53,0.48,Poor,4,Low,28,9377.0,False,Low,837.22,0,0.0
CA,2000,2014.0,0,700.0,Masonry,2,284400.0,5000,Suburban,14,False,False,0.0,9.69,120,349661.0,0.534,22.28,26.31,15.78,75,15.94,Adequate,2,Moderate,26,0.0,True,Low,758.38,0,0.0
WA,1950,2896.0,2,589.0,Frame,5,749010.0,2000,Suburban,29,False,True,16.81,19.75,30,502382.0,0.556,36.74,79.49,4.41,31,30.01,Poor,2,Moderate,76,246628.0,False,High,5355.72,0,0.0
OK,2003,2631.0,0,803.0,Frame,6,430598.0,2000,Suburban,23,True,True,19.82,1.63,120,374567.0,1.365,16.22,4.43,1.77,88,8.88,Adequate,1,Low,23,56031.0,False,Low,863.87,0,0.0
MA,1973,2123.0,0,700.0,Frame,9,462993.0,500,Urban,7,False,True,15.57,0.0,120,395756.0,2.179,9.88,53.22,2.05,34,9.31,Excellent,1,Low,53,67237.0,True,Elevated,2139.47,0,0.0
FL,1961,2162.0,0,670.0,Frame,2,609914.0,1000,Urban,18,True,False,5.37,30.44,120,506348.0,0.289,26.46,38.25,3.85,48,20.39,Adequate,0,Moderate,65,103566.0,False,Moderate,1353.0,0,0.0
Other,2022,2553.0,0,632.0,Frame,10,508091.0,1000,Rural,3,False,True,0.0,10.11,120,422223.0,2.376,25.13,68.24,5.73,95,8.83,Poor,3,Low,4,85868.0,False,Elevated,2118.39,0,0.0
GA,2006,2412.0,1,663.0,Frame,2,322184.0,2000,Suburban,6,False,True,23.67,2.51,10,364798.0,0.338,19.83,37.38,4.34,49,0.91,Adequate,0,Low,20,0.0,False,Low,758.65,0,0.0
MA,1998,2409.0,0,700.0,Frame,8,394480.0,1000,Suburban,6,False,False,7.5,19.53,120,338717.0,0.256,37.81,52.99,0.81,40,8.29,Poor,0,High,28,55763.0,True,Moderate,1685.33,0,0.0
TX,1955,1118.0,3,680.0,Frame,4,288675.0,2000,Rural,26,False,True,2.39,4.47,11,149856.0,0.689,8.07,59.31,3.19,43,21.49,Excellent,3,Low,71,138819.0,False,Moderate,1902.11,0,0.0
NY,1976,1508.0,0,619.0,Frame,3,188552.0,2000,Urban,28,True,False,22.76,27.68,120,185120.0,0.677,42.82,51.9,5.51,81,5.42,Poor,1,Moderate,50,3432.0,False,Low,477.09,0,0.0
CA,1953,2402.0,0,700.0,Masonry,1,449882.0,500,Rural,30,False,False,26.25,3.54,120,366072.0,0.36,19.84,34.07,1.64,47,12.11,Adequate,1,Low,73,83810.0,True,Moderate,1958.72,0,0.0
TX,2000,2972.0,1,605.0,Frame,9,702904.0,1000,Urban,8,False,False,4.66,9.14,4,526233.0,0.514,2.92,27.12,21.51,59,6.32,Excellent,1,Low,26,176671.0,False,High,4497.14,0,0.0
LA,2023,1973.0,0,680.0,Masonry,4,429700.0,1000,Suburban,1,True,False,9.99,12.57,120,287332.0,0.231,6.72,69.53,22.35,95,2.64,Poor,0,Low,3,142368.0,False,Low,600.47,0,0.0
MA,2004,2901.0,0,700.0,Frame,9,451563.0,2000,Suburban,19,False,True,4.62,1.0,120,482022.0,0.238,23.66,73.26,0.14,81,0.11,Excellent,0,Low,22,0.0,True,Moderate,1145.59,0,0.0
Other,1999,2558.0,1,726.0,Fire Resistive,10,510343.0,5000,Suburban,7,True,True,22.19,1.88,5,428556.0,0.343,27.3,36.04,1.96,51,8.86,Poor,0,Low,27,81787.0,False,Moderate,1068.3,0,0.0
FL,1986,1581.0,0,684.0,Masonry,7,205068.0,5000,Suburban,13,True,False,10.36,36.51,120,207893.0,1.533,62.08,36.18,5.94,47,6.28,Adequate,1,Low,40,0.0,False,Low,340.58,0,0.0
FL,1982,1618.0,0,625.0,Fire Resistive,3,255192.0,1000,Urban,23,False,False,7.04,0.17,120,288511.0,0.276,38.44,51.82,20.48,78,2.24,Excellent,0,Low,44,0.0,False,Low,679.42,0,0.0
NY,1985,1984.0,0,745.0,Masonry,7,396752.0,2000,Urban,16,True,False,19.09,3.39,120,274829.0,0.426,21.29,34.36,2.29,55,0.56,Adequate,1,Low,41,121923.0,False,Moderate,1438.73,0,0.0
TX,2008,2356.0,0,726.0,Frame,3,600385.0,1000,Rural,1,False,False,29.33,17.54,120,460815.0,0.947,23.79,44.68,8.57,47,10.35,Adequate,3,Low,18,139570.0,False,Moderate,1441.55,0,0.0
CA,1997,2427.0,2,700.0,Masonry,5,326549.0,2000,Suburban,23,False,False,5.47,21.46,11,381201.0,0.509,43.64,75.51,2.64,84,9.12,Adequate,0,Low,29,0.0,True,Moderate,1619.76,0,0.0
NY,1999,2028.0,0,732.0,Frame,10,457289.0,1000,Suburban,16,False,False,15.91,4.79,120,360534.0,0.91,68.18,19.86,0.83,87,1.32,Poor,0,High,27,96755.0,False,Moderate,1903.01,0,0.0
TX,1983,2241.0,0,779.0,Masonry,3,545187.0,2000,Suburban,15,True,False,31.18,12.0,120,410209.0,0.735,41.51,46.97,5.8,64,13.96,Adequate,3,Moderate,43,134978.0,False,Moderate,1842.71,0,0.0
LA,1986,954.0,1,645.0,Masonry,2,257007.0,500,Rural,16,True,False,6.87,29.39,25,188953.0,0.345,15.73,53.28,18.49,82,38.63,Poor,0,High,40,68054.0,False,Moderate,1029.02,0,0.0
NY,1980,1010.0,0,702.0,Frame,7,196693.0,2000,Rural,16,False,True,20.66,4.23,120,171881.0,0.309,6.27,41.68,3.11,63,2.38,Adequate,0,Moderate,46,24812.0,False,Low,517.98,0,0.0
WA,2008,1571.0,0,752.0,Frame,4,257498.0,1000,Urban,24,True,False,21.59,10.02,120,275669.0,0.616,15.66,53.92,1.03,99,4.41,Excellent,1,Low,18,0.0,False,Low,700.21,0,0.0
LA,1971,1526.0,0,591.0,Frame,5,349211.0,1000,Suburban,28,False,False,13.78,0.69,120,344469.0,0.305,18.46,67.32,0.12,94,5.18,Adequate,0,Low,55,4742.0,False,Moderate,1184.57,0,0.0
FL,2000,2596.0,0,842.0,Masonry,9,689066.0,2000,Suburban,15,True,False,26.09,0.03,120,506880.0,3.397,3.86,89.6,25.24,87,1.37,Adequate,0,Low,26,182186.0,False,Elevated,3374.98,0,0.0
WA,1988,2022.0,1,724.0,Frame,9,360323.0,1000,Urban,9,True,False,4.85,20.56,19,232929.0,1.789,18.54,66.69,9.95,39,1.9,Adequate,0,Low,38,127394.0,False,Moderate,1871.6,0,0.0
WA,1963,2858.0,0,725.0,Masonry,10,802093.0,5000,Urban,26,True,False,25.41,63.11,120,550588.0,0.852,27.04,66.58,8.21,58,7.25,Adequate,0,Low,63,251505.0,False,High,7368.62,0,0.0
FL,1984,2367.0,0,717.0,Frame,3,770808.0,500,Urban,10,True,False,9.8,0.08,120,499749.0,0.284,13.96,32.76,36.0,66,0.03,Excellent,0,Low,42,271059.0,False,Elevated,2700.67,0,0.0
TX,1950,2346.0,0,707.0,Frame,4,475726.0,1000,Suburban,30,True,False,25.27,0.0,120,329854.0,0.51,4.59,72.73,1.33,33,3.5,Adequate,3,Low,76,145872.0,False,Elevated,2135.06,0,0.0
